,Location Code,District,Latitude,Longitude,Zip,Grades,Community School?,Economic Need Index,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Percent of Students Chronically Absent,Rigorous Instruction %,Collaborative Teachers %,Supportive Environment %,Strong Family-Community Ties %,Student Achievement Rating,Total Proficiency,Grade_cats,SA_Rating_Approaching Target,SA_Rating_Exceeding Target,SA_Rating_Meeting Target,SA_Rating_Not Meeting Target,Community_School_Yes
0,01M015,1,40.721834,-73.97876600000001,10009,"PK,0K,01,02,03,04,05",Yes,0.919,0.09,0.05,0.32,0.6,0.92,0.01,0.18,0.89,0.94,0.86,0.85,Approaching Target,4.3100000000000005,Elem_Middle,1,0,0,0,1
1,01M019,1,40.729892,-73.98423100000001,10003,"PK,0K,01,02,03,04,05",No,0.6409999999999999,0.05,0.1,0.2,0.63,0.83,0.06,0.3,0.96,0.96,0.97,0.86,Exceeding Target,5.609999999999999,Elem_Middle,0,1,0,0,0
2,01M020,1,40.721274,-73.986315,10002,"PK,0K,01,02,03,04,05",No,0.7440000000000001,0.15,0.35,0.08,0.49,0.57,0.04,0.2,0.87,0.77,0.82,0.8,Approaching Target,4.93,Elem_Middle,1,0,0,0,0
3,01M034,1,40.726147,-73.975043,10009,"PK,0K,01,02,03,04,05,06,07,08",No,0.86,0.07,0.05,0.29,0.63,0.92,0.04,0.28,0.85,0.78,0.82,0.89,Exceeding Target,4.95,Elem_Middle,0,1,0,0,0
4,01M063,1,40.724404,-73.98635999999999,10009,"PK,0K,01,02,03,04,05",No,0.73,0.03,0.04,0.2,0.65,0.84,0.1,0.23,0.9,0.88,0.87,0.89,Meeting Target,4.92,Elem_Middle,0,0,1,0,0
5,01M064,1,40.723746999999996,-73.981602,10009,"PK,0K,01,02,03,04,05",No,0.858,0.06,0.07,0.19,0.66,0.84,0.07,0.33,0.93,0.99,0.95,0.88,Meeting Target,4.77,Elem_Middle,0,0,1,0,0
6,01M110,1,40.715293,-73.979927,10002,"PK,0K,01,02,03,04,05",No,0.499,0.01,0.16,0.1,0.43,0.53,0.27,0.13,0.88,0.78,0.95,0.87,Exceeding Target,6.0,Elem_Middle,0,1,0,0,0
7,01M134,1,40.714301,-73.982966,10002,"PK,0K,01,02,03,04,05",No,0.833,0.12,0.21,0.2,0.55,0.75,0.03,0.36,0.87,0.89,0.88,0.79,Meeting Target,5.01,Elem_Middle,0,0,1,0,0
8,01M140,1,40.719128000000005,-73.983283,10002,"PK,0K,01,02,03,04,05,06,07,08",No,0.8490000000000001,0.14,0.05,0.13,0.78,0.9,0.03,0.27,0.94,0.91,0.85,0.83,Meeting Target,4.48,Elem_Middle,0,0,1,0,0
9,01M142,1,40.71823,-73.984082,10002,"PK,0K,01,02,03,04,05",No,0.861,0.08,0.06,0.11,0.78,0.9,0.02,0.27,0.92,0.89,0.9,0.89,Meeting Target,4.470000000000001,Elem_Middle,0,0,1,0,0
10,01M184,1,40.711437,-73.985486,10002,"PK,0K,01,02,03,04,05,06,07,08",No,0.5589999999999999,0.17,0.71,0.04,0.12,0.15,0.09,0.02,0.9,0.81,0.91,0.83,Exceeding Target,6.87,Elem_Middle,0,1,0,0,0
11,01M188,1,40.71987,-73.977376,10002,"PK,0K,01,02,03,04,05,06,07,08",Yes,0.917,0.16,0.02,0.3,0.64,0.93,0.04,0.37,1.0,1.0,0.99,0.92,Meeting Target,4.49,Elem_Middle,0,0,1,0,1
12,01M292,1,40.713343,-73.986069,10002,"06,07,08,09,10,11,12",Yes,0.8320000000000001,0.14,0.12,0.26,0.57,0.84,0.03,0.58,0.72,0.77,0.77,0.76,Approaching Target,3.79,with_high,1,0,0,0,1
13,01M301,1,40.729892,-73.98423100000001,10003,"06,07,08",No,0.7909999999999999,0.06,0.08,0.29,0.55,0.84,0.04,0.35,0.84,0.78,0.81,0.74,Meeting Target,4.29,Elem_Middle,0,0,1,0,0
14,01M315,1,40.727726000000004,-73.978382,10009,"PK,0K,01,02,03,04,05",No,0.36200000000000004,0.01,0.09,0.09,0.21,0.29,0.55,0.11,0.9,0.93,0.94,0.97,Meeting Target,6.0600000000000005,Elem_Middle,0,0,1,0,0
15,01M332,1,40.713343,-73.986069,10002,"06,07,08",No,0.7709999999999999,0.15,0.05,0.27,0.63,0.9,0.04,0.26,0.92,0.96,0.92,0.86,Meeting Target,4.46,Elem_Middle,0,0,1,0,0
16,01M361,1,40.727726000000004,-73.978382,10009,"PK,0K,01,02,03,04,05",No,0.451,0.07,0.1,0.1,0.39,0.49,0.38,0.23,0.97,0.97,0.97,0.93,Meeting Target,5.880000000000001,Elem_Middle,0,0,1,0,0
17,01M363,1,40.724404,-73.98635999999999,10009,"PK,0K,01,02,03,04,05",No,0.43,0.04,0.05,0.13,0.34,0.47,0.45,0.23,0.99,0.97,0.95,0.95,Approaching Target,5.23,Elem_Middle,1,0,0,0,0
18,01M364,1,40.723746999999996,-73.981602,10009,"PK,0K,01,02,03,04,05",No,0.44799999999999995,0.06,0.07,0.13,0.35,0.48,0.37,0.15,0.96,0.99,0.96,0.96,Meeting Target,6.18,Elem_Middle,0,0,1,0,0
19,01M378,1,40.720185,-73.985957,10002,"06,07,08",No,0.764,0.08,0.15,0.22,0.58,0.81,0.02,0.27,0.79,0.87,0.82,0.76,Exceeding Target,4.82,Elem_Middle,0,1,0,0,0
20,01M450,1,40.729153000000004,-73.982474,10009,"06,07,08,09,10,11,12",No,0.61,0.01,0.11,0.21,0.53,0.74,0.12,0.05,0.92,0.95,0.92,0.88,Exceeding Target,5.72,with_high,0,1,0,0,0
21,01M539,1,40.7195,-73.979239,10002,"0K,01,02,03,04,05,06,07,08,09,10,11,12",No,0.257,0.0,0.33,0.09,0.11,0.2,0.42,0.03,0.81,0.73,0.85,0.81,Exceeding Target,7.86,K_to_12,0,1,0,0,0
22,01M839,1,40.723746999999996,-73.981602,10009,"06,07,08",No,0.597,0.03,0.23,0.16,0.37,0.53,0.2,0.07,0.9,0.89,0.88,0.83,Exceeding Target,5.93,Elem_Middle,0,1,0,0,0
23,02M001,2,40.712561,-73.997474,10038,"PK,0K,01,02,03,04,05",No,0.769,0.25,0.64,0.12,0.22,0.34,0.01,0.18,0.89,0.91,0.95,0.87,Exceeding Target,5.73,Elem_Middle,0,1,0,0,0
24,02M002,2,40.712943,-73.991557,10002,"PK,0K,01,02,03,04,05",No,0.858,0.36,0.85,0.04,0.09,0.13,0.01,0.06,0.93,0.86,0.94,0.83,Meeting Target,5.99,Elem_Middle,0,0,1,0,0
25,02M003,2,40.732632,-74.00594699999999,10014,"PK,0K,01,02,03,04,05",No,0.17600000000000002,0.04,0.07,0.05,0.12,0.18,0.7,0.13,0.97,0.93,0.97,0.96,Meeting Target,6.5,Elem_Middle,0,0,1,0,0
26,02M006,2,40.777703,-73.96042800000001,10028,"0K,01,02,03,04,05",No,0.10099999999999999,0.02,0.13,0.02,0.07,0.09,0.75,0.05,0.87,0.9,0.95,0.92,Exceeding Target,7.109999999999999,Elem_Middle,0,1,0,0,0
27,02M011,2,40.744549,-74.000737,10011,"PK,0K,01,02,03,04,05",No,0.293,0.03,0.14,0.07,0.25,0.32,0.49,0.1,0.93,0.93,0.98,0.93,Meeting Target,6.470000000000001,Elem_Middle,0,0,1,0,0
28,02M033,2,40.748945,-74.00024300000001,10001,"PK,0K,01,02,03,04,05",No,0.43,0.04,0.25,0.12,0.3,0.42,0.26,0.13,0.97,0.9,0.94,0.92,Meeting Target,6.4399999999999995,Elem_Middle,0,0,1,0,0
29,02M040,2,40.735118,-73.981697,10003,"PK,0K,01,02,03,04,05",No,0.153,0.03,0.09,0.03,0.13,0.16,0.64,0.07,0.97,0.94,0.99,0.96,Exceeding Target,7.04,Elem_Middle,0,1,0,0,0
30,02M041,2,40.735526,-73.999113,10011,"PK,0K,01,02,03,04,05",No,0.066,0.02,0.09,0.02,0.1,0.11,0.69,0.02,0.95,0.96,0.98,0.95,Exceeding Target,7.140000000000001,Elem_Middle,0,1,0,0,0
31,02M042,2,40.716136,-73.990841,10002,"PK,0K,01,02,03,04,05",No,0.785,0.27,0.93,0.0,0.04,0.04,0.02,0.02,0.91,0.94,0.96,0.85,Exceeding Target,6.49,Elem_Middle,0,1,0,0,0
32,02M051,2,40.761593,-73.99559,10036,"0K,01,02,03,04,05",No,0.626,0.09,0.24,0.12,0.42,0.55,0.2,0.15,0.9,0.95,0.97,0.89,Exceeding Target,5.38,Elem_Middle,0,1,0,0,0
33,02M059,2,40.759213,-73.966183,10019,"0K,01,02,03,04,05",No,0.075,0.04,0.15,0.02,0.13,0.15,0.59,0.06,0.87,0.87,0.95,0.94,Exceeding Target,6.86,Elem_Middle,0,1,0,0,0
34,02M077,2,40.785014000000004,-73.95003100000001,10128,"0K,01,02,03,04,05",No,0.069,0.0,0.27,0.0,0.05,0.06,0.59,0.01,0.93,0.96,0.98,0.95,Exceeding Target,7.640000000000001,Elem_Middle,0,1,0,0,0
35,02M089,2,40.716867,-74.013623,10282,"PK,0K,01,02,03,04,05",No,0.068,0.04,0.16,0.02,0.14,0.16,0.62,0.06,0.95,0.94,0.98,0.93,Exceeding Target,6.9399999999999995,Elem_Middle,0,1,0,0,0
36,02M104,2,40.735735,-73.980611,10010,"06,07,08",No,0.522,0.05,0.4,0.08,0.21,0.29,0.28,0.11,0.87,0.89,0.85,0.7,Exceeding Target,6.3,Elem_Middle,0,1,0,0,0
37,02M111,2,40.765834000000005,-73.989602,10019,"PK,0K,01,02,03,04,05",No,0.645,0.12,0.18,0.16,0.5,0.66,0.13,0.26,0.89,0.79,0.81,0.88,Meeting Target,4.86,Elem_Middle,0,0,1,0,0
38,02M114,2,40.780646000000004,-73.947544,10028,"06,07,08",No,0.10400000000000001,0.0,0.15,0.03,0.09,0.12,0.66,0.02,0.92,0.96,0.92,0.82,Exceeding Target,7.6,Elem_Middle,0,1,0,0,0
39,02M116,2,40.744425,-73.977634,10016,"0K,01,02,03,04,05",No,0.307,0.11,0.2,0.09,0.22,0.3,0.44,0.14,0.92,0.92,0.95,0.9,Meeting Target,6.24,Elem_Middle,0,0,1,0,0
40,02M124,2,40.714426,-73.995526,10002,"PK,0K,01,02,03,04,05",No,0.578,0.29,0.95,0.0,0.03,0.03,0.01,0.02,0.83,0.77,0.94,0.8,Exceeding Target,6.65,Elem_Middle,0,1,0,0,0
41,02M126,2,40.710448,-73.997001,10038,"PK,0K,01,02,03,04,05,06,07,08",No,0.728,0.17,0.59,0.11,0.21,0.32,0.08,0.1,0.91,0.93,0.91,0.82,Exceeding Target,6.220000000000001,Elem_Middle,0,1,0,0,0
42,02M130,2,40.718819,-73.998263,10013,"PK,0K,01,02,03,04,05",No,0.616,0.13,0.88,0.01,0.05,0.06,0.03,0.02,0.98,0.97,0.97,0.9,Exceeding Target,6.699999999999999,Elem_Middle,0,1,0,0,0
43,02M131,2,40.716213,-73.993555,10002,"06,07,08",No,0.8370000000000001,0.35,0.77,0.08,0.14,0.22,0.0,0.09,0.86,0.92,0.91,0.78,Exceeding Target,5.51,Elem_Middle,0,1,0,0,0
44,02M150,2,40.718083,-74.010942,10013,"PK,0K,01,02,03,04,05",No,0.196,0.02,0.16,0.05,0.14,0.19,0.55,0.05,0.95,0.9,0.96,0.95,Exceeding Target,6.800000000000001,Elem_Middle,0,1,0,0,0
45,02M151,2,40.777924,-73.947316,10128,"0K,01,02,03,04,05",No,0.36700000000000005,0.07,0.07,0.14,0.27,0.41,0.47,0.16,0.96,0.96,0.93,0.92,Meeting Target,6.03,Elem_Middle,0,0,1,0,0
46,02M158,2,40.770203,-73.95073000000001,10021,"PK,0K,01,02,03,04,05",No,0.11,0.05,0.11,0.04,0.1,0.14,0.71,0.08,0.96,0.87,0.96,0.89,Exceeding Target,7.23,Elem_Middle,0,1,0,0,0
47,02M167,2,40.771827,-73.95794000000001,10021,"06,07,08",No,0.36,0.04,0.28,0.08,0.19,0.27,0.42,0.09,0.85,0.89,0.87,0.76,Exceeding Target,6.42,Elem_Middle,0,1,0,0,0
48,02M177,2,40.770203,-73.95073000000001,10075,"06,07,08",No,0.271,0.01,0.11,0.11,0.3,0.4,0.42,0.09,0.99,0.99,0.88,0.92,Meeting Target,6.72,Elem_Middle,0,0,1,0,0
49,02M183,2,40.763762,-73.957759,10021,"0K,01,02,03,04,05",No,0.07400000000000001,0.06,0.17,0.04,0.1,0.14,0.66,0.07,0.85,0.94,0.94,0.93,Exceeding Target,6.65,Elem_Middle,0,1,0,0,0
50,02M198,2,40.785014000000004,-73.95003100000001,10128,"PK,0K,01,02,03,04,05",No,0.365,0.07,0.16,0.1,0.27,0.37,0.45,0.19,0.89,0.9,0.86,0.95,Meeting Target,5.7,Elem_Middle,0,0,1,0,0
51,02M212,2,40.761328999999996,-73.98866899999999,10036,"0K,01,02,03,04,05",No,0.2,0.02,0.1,0.06,0.23,0.29,0.48,0.05,0.93,0.98,0.97,0.97,Meeting Target,6.59,Elem_Middle,0,0,1,0,0
52,02M217,2,40.763969,-73.948468,10044,"PK,0K,01,02,03,04,05,06,07,08",No,0.293,0.07,0.29,0.16,0.14,0.3,0.36,0.1,0.93,0.95,0.89,0.89,Meeting Target,5.91,Elem_Middle,0,0,1,0,0
53,02M225,2,40.765368,-73.959696,10021,"PK,0K,01,02,03,04,05,06,07,08",No,0.429,0.03,0.04,0.19,0.37,0.56,0.35,0.26,0.91,0.91,0.93,0.95,Meeting Target,5.46,Elem_Middle,0,0,1,0,0
54,02M234,2,40.716096,-74.011765,10007,"0K,01,02,03,04,05",No,0.065,0.01,0.11,0.01,0.08,0.1,0.7,0.06,0.92,0.9,0.97,0.94,Exceeding Target,6.8,Elem_Middle,0,1,0,0,0
55,02M255,2,40.735118,-73.981697,10003,"06,07,08",No,0.131,0.0,0.19,0.03,0.09,0.13,0.63,0.05,0.93,0.97,0.95,0.88,Exceeding Target,7.38,Elem_Middle,0,1,0,0,0
56,02M260,2,40.736114,-73.992352,10003,"06,07,08",No,0.23600000000000002,0.01,0.14,0.06,0.1,0.16,0.65,0.02,0.91,0.9,0.9,0.87,Exceeding Target,6.73,Elem_Middle,0,1,0,0,0
57,02M267,2,40.763853999999995,-73.963813,10065,"0K,01,02,03,04,05",No,0.049,0.04,0.11,0.02,0.07,0.09,0.78,0.07,0.94,0.96,0.95,0.91,Meeting Target,6.449999999999999,Elem_Middle,0,0,1,0,0
58,02M276,2,40.706563,-74.017528,10011,"0K,01,02,03,04,05,06,07,08",No,0.114,0.02,0.21,0.04,0.11,0.15,0.56,0.08,0.92,0.94,0.88,0.9,Meeting Target,6.48,Elem_Middle,0,0,1,0,0
