,Location_Code,Latitude,Longitude,Grades,Community_School?,Economic_Need_Index,Percent_ELL,Percent_Asian,Percent_Black,Percent_Hispanic,Percent_Black_/_Hispanic,Percent_White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction_%,Collaborative_Teachers_%,Supportive_Environment_%,Strong_Family-Community_Ties_%,Student_Achievement_Rating,Total_Proficiency_Average
0,01M015,40.721834,-73.97876600000001,"PK,0K,01,02,03,04,05",Yes,0.919,0.09,0.05,0.32,0.6,0.92,0.01,0.94,0.18,0.89,0.94,0.86,0.85,Approaching Target,2.1550000000000002
1,01M019,40.729892,-73.98423100000001,"PK,0K,01,02,03,04,05",No,0.6409999999999999,0.05,0.1,0.2,0.63,0.83,0.06,0.92,0.3,0.96,0.96,0.97,0.86,Exceeding Target,2.8049999999999997
2,01M020,40.721274,-73.986315,"PK,0K,01,02,03,04,05",No,0.7440000000000001,0.15,0.35,0.08,0.49,0.57,0.04,0.94,0.2,0.87,0.77,0.82,0.8,Approaching Target,2.465
3,01M034,40.726147,-73.975043,"PK,0K,01,02,03,04,05,06,07,08",No,0.86,0.07,0.05,0.29,0.63,0.92,0.04,0.92,0.28,0.85,0.78,0.82,0.89,Exceeding Target,2.475
4,01M063,40.724404,-73.98635999999999,"PK,0K,01,02,03,04,05",No,0.73,0.03,0.04,0.2,0.65,0.84,0.1,0.93,0.23,0.9,0.88,0.87,0.89,Meeting Target,2.46
5,01M064,40.723746999999996,-73.981602,"PK,0K,01,02,03,04,05",No,0.858,0.06,0.07,0.19,0.66,0.84,0.07,0.92,0.33,0.93,0.99,0.95,0.88,Meeting Target,2.385
6,01M110,40.715293,-73.979927,"PK,0K,01,02,03,04,05",No,0.499,0.01,0.16,0.1,0.43,0.53,0.27,0.95,0.13,0.88,0.78,0.95,0.87,Exceeding Target,3.0
7,01M134,40.714301,-73.982966,"PK,0K,01,02,03,04,05",No,0.833,0.12,0.21,0.2,0.55,0.75,0.03,0.91,0.36,0.87,0.89,0.88,0.79,Meeting Target,2.505
8,01M140,40.719128000000005,-73.983283,"PK,0K,01,02,03,04,05,06,07,08",No,0.8490000000000001,0.14,0.05,0.13,0.78,0.9,0.03,0.93,0.27,0.94,0.91,0.85,0.83,Meeting Target,2.24
9,01M142,40.71823,-73.984082,"PK,0K,01,02,03,04,05",No,0.861,0.08,0.06,0.11,0.78,0.9,0.02,0.92,0.27,0.92,0.89,0.9,0.89,Meeting Target,2.2350000000000003
