,Unnamed: 0,Location_Code,Latitude,Longitude,Economic_Need_Index,Percent_ELL,Percent_Asian,Percent_Black,Percent_Hispanic,Percent_Black_Hispanic,Percent_White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction_Per,Collaborative_Teachers_Per,Supportive_Environment_Per,Strong_Family_Community_Ties_Per,Total_Proficiency_Average,SA_Rating_Exceeding_Target,SA_Rating_Meeting_Target,SA_Rating_Not_Meeting_Target,Community_School_Yes,Grades
0,0,01M015,40.721834,-73.97876600000002,0.919,0.09,0.05,0.32,0.6,0.92,0.01,0.94,0.18,0.89,0.94,0.86,0.85,2.155,0,0,0,1,"PK,0K,01,02,03,04,05"
1,1,01M019,40.729892,-73.98423100000002,0.6409999999999999,0.05,0.1,0.2,0.63,0.83,0.06,0.92,0.3,0.96,0.96,0.97,0.86,2.805,1,0,0,0,"PK,0K,01,02,03,04,05"
2,2,01M020,40.721274,-73.986315,0.7440000000000001,0.15,0.35,0.08,0.49,0.57,0.04,0.94,0.2,0.87,0.77,0.82,0.8,2.465,0,0,0,0,"PK,0K,01,02,03,04,05"
3,3,01M034,40.726147,-73.975043,0.86,0.07,0.05,0.29,0.63,0.92,0.04,0.92,0.28,0.85,0.78,0.82,0.89,2.475,1,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
4,4,01M063,40.724404,-73.98635999999998,0.73,0.03,0.04,0.2,0.65,0.84,0.1,0.93,0.23,0.9,0.88,0.87,0.89,2.46,0,1,0,0,"PK,0K,01,02,03,04,05"
5,5,01M064,40.723746999999996,-73.981602,0.858,0.06,0.07,0.19,0.66,0.84,0.07,0.92,0.33,0.93,0.99,0.95,0.88,2.385,0,1,0,0,"PK,0K,01,02,03,04,05"
6,6,01M110,40.715293,-73.979927,0.499,0.01,0.16,0.1,0.43,0.53,0.27,0.95,0.13,0.88,0.78,0.95,0.87,3.0,1,0,0,0,"PK,0K,01,02,03,04,05"
7,7,01M134,40.714301,-73.982966,0.833,0.12,0.21,0.2,0.55,0.75,0.03,0.91,0.36,0.87,0.89,0.88,0.79,2.505,0,1,0,0,"PK,0K,01,02,03,04,05"
8,8,01M140,40.71912800000001,-73.983283,0.8490000000000001,0.14,0.05,0.13,0.78,0.9,0.03,0.93,0.27,0.94,0.91,0.85,0.83,2.24,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
9,9,01M142,40.71823,-73.984082,0.861,0.08,0.06,0.11,0.78,0.9,0.02,0.92,0.27,0.92,0.89,0.9,0.89,2.2350000000000003,0,1,0,0,"PK,0K,01,02,03,04,05"
10,10,01M184,40.711437,-73.985486,0.5589999999999999,0.17,0.71,0.04,0.12,0.15,0.09,0.98,0.02,0.9,0.81,0.91,0.83,3.435,1,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
11,11,01M188,40.71987,-73.977376,0.917,0.16,0.02,0.3,0.64,0.93,0.04,0.91,0.37,1.0,1.0,0.99,0.92,2.245,0,1,0,1,"PK,0K,01,02,03,04,05,06,07,08"
12,12,01M292,40.713343,-73.986069,0.8320000000000001,0.14,0.12,0.26,0.57,0.84,0.03,0.84,0.58,0.72,0.77,0.77,0.76,1.895,0,0,0,1,"06,07,08,09,10,11,12"
13,13,01M301,40.729892,-73.98423100000002,0.7909999999999999,0.06,0.08,0.29,0.55,0.84,0.04,0.9,0.35,0.84,0.78,0.81,0.74,2.145,0,1,0,0,"06,07,08"
14,14,01M315,40.727726000000004,-73.978382,0.36200000000000004,0.01,0.09,0.09,0.21,0.29,0.55,0.95,0.11,0.9,0.93,0.94,0.97,3.03,0,1,0,0,"PK,0K,01,02,03,04,05"
15,15,01M332,40.713343,-73.986069,0.7709999999999999,0.15,0.05,0.27,0.63,0.9,0.04,0.92,0.26,0.92,0.96,0.92,0.86,2.23,0,1,0,0,"06,07,08"
16,16,01M361,40.727726000000004,-73.978382,0.451,0.07,0.1,0.1,0.39,0.49,0.38,0.93,0.23,0.97,0.97,0.97,0.93,2.9400000000000004,0,1,0,0,"PK,0K,01,02,03,04,05"
17,17,01M363,40.724404,-73.98635999999998,0.43,0.04,0.05,0.13,0.34,0.47,0.45,0.93,0.23,0.99,0.97,0.95,0.95,2.615,0,0,0,0,"PK,0K,01,02,03,04,05"
18,18,01M364,40.723746999999996,-73.981602,0.44799999999999995,0.06,0.07,0.13,0.35,0.48,0.37,0.94,0.15,0.96,0.99,0.96,0.96,3.09,0,1,0,0,"PK,0K,01,02,03,04,05"
