,Location_Code,Latitude,Longitude,Economic_Need_Index,Percent_ELL,Percent_Asian,Percent_Black,Percent_Hispanic,Percent_Black_Hispanic,Percent_White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction_Per,Collaborative_Teachers_Per,Supportive_Environment_Per,Strong_Family_Community_Ties_Per,Total_Proficiency_Average,SA_Rating_Exceeding_Target,SA_Rating_Meeting_Target,SA_Rating_Not_Meeting_Target,Community_School_Yes,Grades,Grades_Elem_Middle,Grades_K_to_12,Grades_with_high,advanced_regents_of_cohort,dropped_out_of_cohort,local_of_grads,regents_w_o_advanced_of_cohort,still_enrolled_of_cohort
0,01M292,40.713343,-73.986069,0.8320000000000001,0.14,0.12,0.26,0.57,0.84,0.03,0.84,0.58,0.72,0.77,0.77,0.76,1.895,0,0,0,1,"06,07,08,09,10,11,12",0,0,1,0.6089108910891089,19.907178217821787,24.811194029850775,45.921287128712876,14.57178217821784
1,01M450,40.729153,-73.982474,0.61,0.01,0.11,0.21,0.53,0.74,0.12,0.97,0.05,0.92,0.95,0.92,0.88,2.86,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,0.0,9.888796680497949,4.588796680497922,76.02883817427399,9.120331950207474
2,01M539,40.7195,-73.979239,0.257,0.0,0.33,0.09,0.11,0.2,0.42,0.97,0.03,0.81,0.73,0.85,0.81,3.93,1,0,0,0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0,1,0,73.09352331606222,1.0629533678756469,0.8607792207792213,23.675129533678753,1.176165803108809
3,02M407,40.732676,-73.982576,0.258,0.0,0.07,0.16,0.16,0.32,0.55,0.96,0.13,0.94,0.98,0.9,0.89,3.115,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,0.0,3.850688073394496,35.0433486238532,58.23050458715597,8.92110091743119
4,02M408,40.761329,-73.98866899999999,0.33,0.0,0.05,0.23,0.2,0.43,0.44,0.96,0.09,0.9,0.86,0.84,0.75,3.41,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,12.660000000000013,1.4326190476190477,13.044951923076924,69.46690476190479,5.140952380952381
5,02M413,40.739095,-73.985349,0.358,0.01,0.15,0.11,0.29,0.4,0.37,0.97,0.06,0.88,0.96,0.88,0.76,3.13,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,0.0,2.7627016129032227,0.2370967741935484,90.13387096774183,6.5326612903225865
6,02M422,40.743368,-74.00254699999998,0.406,0.03,0.11,0.19,0.35,0.54,0.29,0.95,0.11,0.83,0.79,0.82,0.8,2.85,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,9.851724137931036,4.613793103448277,8.96896551724138,62.29827586206898,14.001724137931033
7,02M655,40.783283,-73.945937,0.765,0.06,0.05,0.31,0.6,0.91,0.02,0.9,0.3,0.9,0.9,0.77,0.65,2.095,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,7.199148936170219,11.391702127659585,26.996595744680803,48.45425531914887,10.740638297872348
8,03M415,40.802284,-73.95408,0.7909999999999999,0.05,0.02,0.53,0.44,0.96,0.01,0.93,0.23,0.86,0.77,0.82,0.77,2.015,0,0,0,1,"06,07,08,09,10,11,12",0,0,1,3.9207373271889394,13.24976958525345,24.842396313364038,44.27304147465438,15.028110599078344
9,03M859,40.775221,-73.982997,0.253,0.01,0.16,0.13,0.14,0.28,0.43,0.96,0.07,0.96,0.97,0.91,0.91,3.76,1,0,0,0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0,1,0,1.8199999999999998,1.48,2.42,94.28999999999999,0.0
