,administrative_district,american_indian_alaskan_native_expulsions,american_indian_alaskan_native_principal,american_indian_alaskan_native_removals,american_indian_alaskan_native_superintendent,asian_expulsions,asian_principal,asian_removals,asian_superintendent,black_expulsions,black_principal,black_removals,black_superintendent,dbn,hispanic_expulsions,hispanic_principal,hispanic_removals,hispanic_superintendent,location_category,location_name,multi_racial_expulsions,multi_racial_principal,multi_racial_removals,multi_racial_superintendent,unknown_expulsions,unknown_principal,unknown_removals,unknown_superintendent,white_expulsions,white_principal,white_removals,white_superintendent
0,1,*,*,*,*,*,*,*,*,*,*,*,*,01M015,*,*,*,*,Elementary,P.S. 015 Roberto Clemente,*,*,*,*,*,*,*,*,*,*,*,*
1,1,*,*,*,*,*,*,*,*,*,*,*,*,01M019,*,*,*,*,Elementary,P.S. 019 Asher Levy,*,*,*,*,*,*,*,*,*,*,*,*
2,1,*,*,*,*,*,*,*,*,*,*,*,*,01M020,*,*,8,*,Elementary,P.S. 020 Anna Silver,*,*,*,*,*,*,*,*,*,*,*,*
3,1,*,*,*,*,*,*,*,*,*,10,12,9,01M034,*,13,14,*,K-8,P.S. 034 Franklin D. Roosevelt,*,*,*,*,*,*,*,*,*,*,*,*
4,1,*,*,*,*,*,*,*,*,*,*,21,*,01M063,*,*,22,*,Elementary,The STAR Academy - P.S.63,*,*,*,*,*,*,*,*,*,*,*,*
5,1,*,*,*,*,*,*,*,*,*,*,*,*,01M064,*,*,*,*,Elementary,P.S. 064 Robert Simon,*,*,*,*,*,*,*,*,*,*,*,*
6,1,*,*,*,*,*,*,*,*,*,*,*,*,01M110,*,*,*,*,Elementary,P.S. 110 Florence Nightingale,*,*,*,*,*,*,*,*,*,*,*,*
7,1,*,*,*,*,*,*,*,*,*,*,*,*,01M134,*,*,*,*,Elementary,P.S. 134 Henrietta Szold,*,*,*,*,*,*,*,*,*,*,*,*
8,1,*,*,*,*,*,*,*,*,*,*,*,*,01M137,*,*,*,*,Elementary,P.S. 137 John L. Bernstein,*,*,*,*,*,*,*,*,*,*,*,*
9,1,*,*,*,*,*,*,*,*,*,*,*,*,01M140,*,8,6,*,K-8,P.S. 140 Nathan Straus,*,*,*,*,*,*,*,*,*,*,*,*
10,1,*,*,*,*,*,*,*,*,*,*,*,*,01M142,*,*,*,*,Elementary,P.S. 142 Amalia Castro,*,*,*,*,*,*,*,*,*,*,*,*
11,1,*,*,*,*,*,*,*,*,*,*,*,*,01M184,*,*,*,*,K-8,P.S. 184m Shuang Wen,*,*,*,*,*,*,*,*,*,*,*,*
12,1,*,*,*,*,*,*,*,*,*,13,*,9,01M188,*,8,*,10,K-8,P.S. 188 The Island School,*,*,*,*,*,*,*,*,*,*,*,*
13,1,*,*,*,*,*,*,*,*,*,9,*,*,01M292,*,8,*,*,Secondary School,Henry Street School for International Studies,*,*,*,*,*,*,*,*,*,*,*,*
14,1,*,*,*,*,*,*,*,*,*,*,*,6,01M301,*,*,*,*,Junior High-Intermediate-Middle,"Technology, Arts, and Sciences Studio",*,*,*,*,*,*,*,*,*,*,*,*
15,1,*,*,*,*,*,*,*,*,*,*,*,*,01M315,*,*,*,*,Elementary,The East Village Community School,*,*,*,*,*,*,*,*,*,*,*,*
16,1,*,*,*,*,*,*,*,*,*,*,*,*,01M332,*,*,*,*,Junior High-Intermediate-Middle,University Neighborhood Middle School,*,*,*,*,*,*,*,*,*,*,*,*
17,1,*,*,*,*,*,*,*,*,*,7,12,*,01M345,*,*,16,*,Junior High-Intermediate-Middle,"Collaborative Academy of Science, Technology, & La",*,*,*,*,*,*,*,*,*,*,*,*
18,1,*,*,*,*,*,*,*,*,*,*,*,*,01M361,*,*,*,*,Elementary,The Children's Workshop School,*,*,*,*,*,*,*,*,*,*,*,*
19,1,*,*,*,*,*,*,*,*,*,*,*,*,01M363,*,*,*,*,Elementary,Neighborhood School,*,*,*,*,*,*,*,*,*,*,*,*
20,1,*,*,*,*,*,*,*,*,*,*,*,*,01M364,*,*,*,*,Elementary,Earth School,*,*,*,*,*,*,*,*,*,*,*,*
21,1,*,*,*,*,*,*,*,*,*,6,*,*,01M378,*,*,*,*,Junior High-Intermediate-Middle,School for Global Leaders,*,*,*,*,*,*,*,*,*,*,*,*
22,1,*,*,*,*,*,*,*,*,*,*,*,*,01M444,*,*,*,*,Central-HQ-Citywide,Home Schooling,*,*,*,*,*,*,*,*,*,*,*,*
23,1,*,*,*,*,*,*,*,*,*,6,*,*,01M448,*,8,*,*,High school,University Neighborhood High School,*,*,*,*,*,*,*,*,*,*,*,*
24,1,*,*,*,*,*,*,*,*,*,*,*,*,01M450,*,*,*,6,Secondary School,East Side Community School,*,*,*,*,*,*,*,*,*,*,*,*
25,1,*,*,*,*,*,*,*,*,*,12,*,*,01M458,*,7,*,*,High school,Forsyth Satellite Academy,*,*,*,*,*,*,*,*,*,*,*,*
26,1,*,*,*,*,*,*,*,*,*,18,*,12,01M509,*,8,*,6,High school,Marta Valle High School,*,*,*,*,*,*,*,*,*,*,*,*
27,1,*,*,*,*,*,*,*,*,*,*,*,*,01M515,*,*,*,*,High school,Lower East Side Preparatory High School,*,*,*,*,*,*,*,*,*,*,*,*
28,1,*,*,*,*,*,*,*,*,*,*,*,*,01M539,*,*,*,*,K-12 all grades,"New Explorations into Science, Technology and Math",*,*,*,*,*,*,*,*,*,*,*,*
29,1,*,*,*,*,*,*,*,*,*,*,*,*,01M650,*,*,*,*,High school,Cascades High School,*,*,*,*,*,*,*,*,*,*,*,*
30,1,*,*,*,*,*,*,*,*,*,*,*,*,01M696,*,*,*,*,High school,Bard High School Early College,*,*,*,*,*,*,*,*,*,*,*,*
31,1,*,*,*,*,*,*,*,*,*,*,*,*,01M839,*,*,*,*,Junior High-Intermediate-Middle,Tompkins Square Middle School,*,*,*,*,*,*,*,*,*,*,*,*
32,2,*,*,*,*,*,*,*,*,*,*,7,*,02M001,*,*,*,*,Elementary,P.S. 001 Alfred E. Smith,*,*,*,*,*,*,*,*,*,*,*,*
33,2,*,*,*,*,*,*,*,*,*,*,*,*,02M002,*,*,*,*,Elementary,P.S. 002 Meyer London,*,*,*,*,*,*,*,*,*,*,*,*
